Average Accuracy,Rule,Accuracy
0.662802088485663,"frozenset({'inf_valence_score_high', 'inf_num_polar_words_high'}) -> frozenset({'usr_abusive_words_ratio_low'})",0.851063829787234
,"frozenset({'inf_num_moral_words_high', 'inf_valence_score_high'}) -> frozenset({'usr_abusive_words_ratio_low'})",0.8181818181818182
,frozenset({'inf_valence_score_high'}) -> frozenset({'usr_abusive_words_ratio_low'}),0.8618421052631579
,frozenset({'inf_num_polar_words_high'}) -> frozenset({'usr_abusive_words_ratio_low'}),0.8532110091743119
,"frozenset({'inf_num_moral_words_high', 'inf_num_polar_words_high'}) -> frozenset({'usr_abusive_words_ratio_low'})",0.6944444444444444
,"frozenset({'inf_valence_score_high', 'inf_num_polar_words_low'}) -> frozenset({'usr_abusive_words_ratio_low'})",0.8666666666666667
,frozenset({'inf_num_polar_words_low'}) -> frozenset({'usr_abusive_words_ratio_low'}),0.8324607329842932
,"frozenset({'inf_valence_score_low', 'inf_num_polar_words_high'}) -> frozenset({'usr_abusive_words_ratio_low'})",0.8548387096774194
,frozenset({'inf_num_moral_words_high'}) -> frozenset({'usr_abusive_words_ratio_low'}),0.7528089887640449
,frozenset({'inf_valence_score_low'}) -> frozenset({'usr_abusive_words_ratio_low'}),0.8175675675675675
,"frozenset({'inf_valence_score_low', 'inf_num_polar_words_low'}) -> frozenset({'usr_abusive_words_ratio_low'})",0.7906976744186046
,"frozenset({'inf_num_moral_words_high', 'inf_num_polar_words_low'}) -> frozenset({'usr_abusive_words_ratio_low'})",0.7924528301886793
,"frozenset({'inf_num_moral_words_high', 'inf_valence_score_low'}) -> frozenset({'usr_abusive_words_ratio_low'})",0.6888888888888889
,"frozenset({'inf_valence_score_high', 'inf_num_polar_words_low'}) -> frozenset({'usr_num_polar_words_low'})",0.780952380952381
,frozenset({'inf_valence_score_high'}) -> frozenset({'usr_num_polar_words_low'}),0.7697368421052632
,frozenset({'inf_num_polar_words_low'}) -> frozenset({'usr_num_polar_words_low'}),0.7120418848167539
,"frozenset({'inf_valence_score_low', 'inf_num_polar_words_low'}) -> frozenset({'usr_num_polar_words_low'})",0.627906976744186
,"frozenset({'inf_valence_score_high', 'inf_num_polar_words_high'}) -> frozenset({'usr_num_polar_words_low'})",0.7446808510638298
,"frozenset({'inf_num_moral_words_high', 'inf_num_polar_words_low'}) -> frozenset({'usr_num_polar_words_low'})",0.660377358490566
,"frozenset({'inf_num_moral_words_high', 'inf_valence_score_high'}) -> frozenset({'usr_num_polar_words_low'})",0.7727272727272727
,"frozenset({'inf_valence_score_high', 'inf_num_polar_words_high'}) -> frozenset({'usr_abusive_words_ratio_low', 'usr_num_polar_words_low'})",0.723404255319149
,frozenset({'inf_valence_score_low'}) -> frozenset({'usr_num_polar_words_low'}),0.6756756756756757
,frozenset({'inf_num_polar_words_high'}) -> frozenset({'usr_num_polar_words_low'}),0.7431192660550459
,"frozenset({'inf_valence_score_high'}) -> frozenset({'usr_abusive_words_ratio_low', 'usr_num_polar_words_low'})",0.7039473684210527
,"frozenset({'inf_valence_score_high', 'inf_num_polar_words_low'}) -> frozenset({'usr_abusive_words_ratio_low', 'usr_num_polar_words_low'})",0.6952380952380952
,"frozenset({'inf_num_polar_words_low'}) -> frozenset({'usr_abusive_words_ratio_low', 'usr_num_polar_words_low'})",0.6282722513089005
,"frozenset({'inf_num_moral_words_high', 'inf_valence_score_high'}) -> frozenset({'usr_abusive_words_ratio_low', 'usr_num_polar_words_low'})",0.7272727272727273
,"frozenset({'inf_valence_score_low', 'inf_num_polar_words_high'}) -> frozenset({'usr_valence_score_low'})",0.45161290322580644
